Words,Frequency
"diminished,",1
grew.,1
infer,8
decrease,57
"nutrients,",3
resulting,35
lower,107
water,132
levels,96
caused,29
drier,13
climates.,2
Estimations,1
age,23
model,98
took,14
approximately,29
state,29
middle,15
Holocene,23
late,41
Holocene.,7
much-reduced,1
indicates,42
rebound,1
previous,28
conditions.,22
record,44
therefore,20
good,22
example,20
detrimental,4
long-lasting,1
anthropic,4
deforestation.',1
'Understanding,6
managing,7
responses,21
requires,13
knowing,2
whether,75
recent,130
function,34
bounds,1
entering,2
new,204
states,15
unprecedented.,3
Several,7
studies,179
fossil,21
lakes,44
shown,25
response,55
regional,83
warming.,7
Yet,8
paleolimnological,5
few,88
hundred,5
years,62
"length,",4
so,41
unclear,3
entered,1
"states,",3
potentially,31
consequences,24
"function,",4
current,114
trends,36
"Here,",46
recently,29
compiled,6
database,11
America,119
explore,26
controls,9
planktic,4
taxa,105
warming,27
structure.,13
review,96
published,32
stratigraphic,3
span,7
thousands,6
characterize,14
long-term,40
dynamics,48
relevant,22
past,68
contemporary,19
data,294
show,120
broad,37
latitudinal,16
correlated,56
surface,37
"temperature,",14
pH,12
conductivity.,1
demonstrates,9
"abundance,",15
abrupt,4
increases,45
followed,48
decades,17
centuries,8
"extirpation,",1
mode,13
population,173
taxa.,27
majority,32
investigations,19
larger,48
differ,34
conductivity,2
dilute,2
shifts,33
observed.,8
assessing,15
resilience,7
"and,",29
"inference,",4
done,11
generating,4
varied,29
size,131
chemistry,6
millennium,4
hence,7
broader,11
spectrum,8
coupled,11
biogeographic,42
build,7
upon,21
ongoing,9
research,165
programs,17
Andes.',7
'Climate,4
elevations,32
Mountains,5
implications,45
native,152
animal,54
integrity,8
affected,51
"cover,",10
human-biophysical,1
involved.,3
Consequences,1
probable,14
rural,25
inhabitants,2
"livelihoods,",2
especially,70
farmers,34
pastoralists.,1
Biophysical,1
factors,133
always,11
mountainous,14
zones;,1
extent,37
degree,31
alteration,2
acting,8
concern.,6
Addressing,1
probably,63
adaptive,41
capacity,20
local,166
land-use,14
unless,3
external,11
socioeconomic,9
political,19
forces,14
unsupportive,1
antagonistic.,1
Suitable,1
"information,",7
"subsidies,",1
alternatives,2
designed.,2
highlight,32
resiliencies,1
cultural,44
contain,18
lessons,4
useful,42
"elsewhere,",2
terms,45
traits,73
allow,23
sustainable,41
utilization,12
dynamic,18
heterogeneous,10
landscapes.',6
Thrush-like,1
Wren,2
(Campylorhynchus,1
turdinus),1
"polytypic,",1
"non-migratory,",1
cooperatively,1
breeding,60
distributed,56
expanded,14
"24%,",1
map,11
mid-1980s,1
reports,13
submitted,4
eBird,3
up,36
through,150
March,4
2017.,1
northwestern,20
"subspecies,",4
C.,72
t.,7
"hypostictus,",1
dramatically,5
upward,1
1200,2
m,34
4200,1
a.s.l.,4
Peruvian,32
During,17
southwestern,13
"unicolor,",1
southern,127
border,10
Brazil,32
Paraguay,9
(approximately,2
southward,9
into,171
northeastern,20
Argentina,30
throughout,59
southeastern,22
"Brazil,",33
extending,8
east-southeast,1
934,1
km,10
rate,54
24.6,1
"km/yr,",1
latitudinally,1
838,1
22.1,1
km/yr.,1
It,100
westward,2
relatively,74
dry,92
Chaco,7
western,70
north-central,4
Argentina.,15
Midwinter,1
non-migratory.,1
Because,22
affinity,7
disturbed,35
"habitats,",25
attributed,15
consistent,48
prediction,12
organisms,22
geographic,112
toward,22
latitudes,6
consequence,20
change.',15
"""By",1
comparing,20
old,18
historical,54
"processes,",22
interpretations,13
made,56
diversification.,8
Such,19
form,42
basis,39
developing,33
rationales,2
ranking,3
priorities.,2
results,228
comprehensive,18
DNA,45
compare,19
Africa,31
strong,68
Plio-Pleistocene,3
radiations,5
representing,40
older,4
monophyletic,12
branches.,2
Striking,2
"patterns,",20
them,58
overlooked,6
"far,",3
found.,7
"domain,",2
lowland,53
"rainforests,",1
"therefore,",6
specific,46
targets.,2
"contrast,",29
evolved,23
defined,28
places,24
"environment,",11
ecologically,18
equable,2
inside,5
geologically,6
ecotonal,2
regions.,22
High,10
taxonomic,80
wide,42
steady,1
patch,4
"dynamics,",6
easiest,1
protect,17
general,51
reforms,1
integrate,6
protection,22
"services,",2
rather,40
strictly,6
site-oriented,1
projects.,3
active,13
"speciation,",6
although,56
"small,",11
regulatory,4
functions,9
critical,39
role,112
maintaining,15
evolutionary,109
fronts'.,1
Region,7
includes,38
dozen,4
places.,1
congruence,3
relictual,3
aggregates,2
limited-range,1
component,26
vicariance,10
events,68
take,9
place,24
mainly,81
isolation,24
extremely,20
stable,34
areas.,51
do,68
necessarily,12
taxic,1
should,107
top,12
priorities,10
concentrated,11
"action.""",1
'Patterns,1
"point,",1
index,30
studied,91
"Acanthaceae,",3
"Araceae,",4
"Bromeliaceae,",4
"Melastomataceae,",3
"Palmae,",1
Pteridophyta,6
204,1
vegetation,110
plots,26
400,5
m2,3
humid,30
Bolivia.,15
Zonal,1
point-diversity,1
(mean,14
per,47
plot),1
(extrapolated,1
number),1
showed,136
hump-shaped,5
curves,6
constant,6
values,40
lowlands,21
"mid-elevations,",1
steep,10
decline.,2
These,152
correspond,10
hypothesis,62
"productivity,",7
pteridophytes,3
epiphytic,23
Bromeliaceae,8
fitt,1
null-model,2
random,10
bounded,1
ranges.,16
point,28
surprisingly,5
Range,10
inverse,6
all,246
elevation),3
"elevation,",19
remained,18
roughly,11
constant.,2
Non-zonal,1
habitats,79
"(ravines,",1
"ridge-tops,",1
rock,8
"faces,",1
"roadsides,",1
pastures),1
contributed,16
significantly,102
overall,37
herbs,8
shrubs,22
"Pteridophyta,",2
With,25
"exceptions,",3
pronounced,12
zonal,4
forests.,43
measures,22
focus,43
reserves,15
low,132
mid-elevations,1
smaller,32
elevations.',2
"""In",3
Bolivia,33
extensively,11
extend,7
country's,1
rain-shadowed,1
intermontane,1
"valleys,",5
often,73
islands.,5
biogeography,24
seven,36
localities,18
minimise,3
"biases,",3
considered,95
speciessensu,1
Remsen,1
(1994),1
types.,13
608,1
454,1
99,3
(22,1
%),3
typical,22
species.,158
Core,1
65,5
156,1
individual,54
sites.,25
One,20
sites,95
154,1
(34,2
single,42
locality,8
each;,1
tendency,14
evident,11
%,5
once.,1
Comparisons,2
valleys,9
distinct.,2
Localities,1
homogeneous,5
affinities,8
forests;,3
latter,22
separated,21
Velasco,1
"sites,",21
respectively.,36
continuous,28
ordination,8
northwest.,1
Typical,1
prevalent,8
"south,",3
whereas,54
predominated,3
Frugi-granivores,1
nectarivores,2
pigeons,1
"doves,",1
"hummingbirds,",8
emberizid,1
finches,1
insectivores,3
greater,76
contributions,12
biogeographical,34
varied.,1
"Overall,",13
gradually,7
Andes;,1
threshold,4
avifaunal,3
turnover.,4
An,35
examination,7
limits,15
northwestward,1
reduction,29
isolated,46
restricted,51
considerably,14
Chaco.,4
colonised,2
different,266
ways.,4
upper,31
ascended,3
directly,27
adjacent,28
cooler,5
periods,44
Pleistocene,30
resulted,38
expansions,4
seasonally,11
"Amazonia.""",1
'Polylepis,1
harbour,6
unique,50
flora,24
fauna.,8
little,60
Central,71
Peru.,23
evaluated,41
12,28
Lima,9
Huancavelica,1
departments,8
Peru,56
richness-abundance,1
analysis,155
Hill,4
numbers.,2
built,10
matrices,4
(presence-absence,1
data),3
three,198
previously,50
"area,",31
regularly,7
inhabit,7
second,36
interest.,3
Some,25
another,28
group,71
line,14
Yungas.,1
"Moreover,",34
27,4
interest,17
region.,43
endemic,118
"Polylepis,",2
biodiversity.',9
'We,44
heterogeneity,21
bofedales,3
differed,29
microhabitat,5
diversity.,30
analyzed,56
collected,59
2,38
seasons,13
24,16
General,4
Linear,2
"Models,",1
Ordinary,1
Least,2
Square,1
establish,23
predictor,8
Akaike,3
Information,14
Criterion,1
selection.,4
evaluate,50
classifying,1
Bray,1
Curtis,1
"ordination,",3
Multiple,7
Response,2
Permutation,1
Procedure,1
test,49
"groups,",24
Indicator,2
Species,43
Analysis,17
Bofedales,1
(F,2
=,28
"5.1,",1
p,4
<,8
0.001),2
"23.4,",1
"0.001),",3
seasonal,35
emerged,10
(p,3
>,3
0.05).,1
54%,2
variance,3
explained,43
"increases,",4
area.,35
supported,31
"composition,",19
microhabitats,5
pairwise,5
(T,1
"0.601,",1
indicator,10
"0.05),",1
because,85
contribution,20
speciose,7
others.,7
As,65
"such,",6
species-rich,13
species-poor,2
ones,13
predicted,34
hypothesis.,7
Disentangling,1
ensure,9
imminent,5
'BackgroundThe,13
Amazon,102
richest,5
regions,125
rise,27
extensive,31
situ,15
radiations.,2
Various,5
lineages,65
radiated,3
ex,5
after,70
colonizing,1
one,219
other:,1
Amazonian,68
clades,27
dendrobatid,1
frogs,4
passerine,8
"ancestry,",1
transitions,11
even,56
common.,4
"regions,",30
investigated,32
rodents,14
family,51
Echimyidae:,1
bamboo,4
rats,5
"(Dactylomys-Olallamys-Kannabateomys),",1
spiny,3
tree-rats,1
"(Mesomys-Lonchothrix),",1
brush-tailed,2
(Isothrix).,1
Each,10
clade,31
"Amazonia,",7
lowlands.,5
mitochondrial,41
(cyt-,1
12S),1
nuclear,31
"(GHR,",1
"vWF,",1
RAG1),1
markers,14
reconstruct,7
phylogenetic,85
relationships.,7
Tree,5
topologies,1
ancestral,20
ranges,38
then,39
determine,61
forms,42
radiations.ResultsFour,1
generic,6
rat,2
unambiguously,2
originated,11
ca.,21
early,72
transition,23
(Olallamys),1
later,20
move,4
"(Dactylomys),",1
(one,2
genus).,2
Dactylomys,1
Isothrix,1
sister,19
raising,3
possibility,16
highland,12
colonized,8
Basin.,8
uncertainty,6
reconstructed,14
obscures,1
origin,66
transitions.,1
lone,1
Mesomys,1
confidently,3
nested,13
"radiation,",5
thereby,12
Amazon-to-Andes,1
timing,17
appear,38
polarities,1
"Instead,",5
radiation,25
"family,",8
centers,14
enriched,4
survey,42
American,129
reciprocal,11
exchange,22
"amphibians,",8
insects,28
fewer,15
87,3
Miocene-Pleistocene.,1
clear,24
trend,22
emerges,1
polarity,1
"transitions,",1
relative,70
"frequency,",5
faunas,8
continual,2
process,44
'Despite,4
popularity,2
tourism,6
recreation,2
"value,",4
limited,33
impacts,75
use.,13
Using,29
quantitative,21
literature,39
"method,",6
47,4
ecology,45
25,14
experimental,14
design.,1
Southern,41
(13,4
studies),2
Chile,25
(eight,1
four,119
Northern,32
mammals;,2
tolerance,6
wildlife,15
visitor,6
visitors,15
soils,12
aquatic,63
ecoregions,14
enhance,12
ecosystems.',5
'BackgroundGlucocorticoids,1
adrenal,1
steroid,1
hormones,1
essential,25
homeostatic,1
maintenance.,3
Their,15
daily,10
regulates,3
physiology,3
behavior,42
sustain,5
proper,6
immunological,1
metabolic,17
function.,3
Glucocorticoids,1
baseline,14
stress,20
elicit,1
emergency-state,1
short-term,6
survival.,4
Despite,28
essence,1
life,62
processes,80
regular,7
adverse,9
glucocorticoid,1
release,13
environmental,220
intrinsic,4
vary,34
scales,29
rarely,16
wild.MethodsThis,1
41,4
Ecuadorian,22
applied,29
standardized,7
capture-and-restraint,1
protocol,3
diurnal,22
stress-related,3
"corticosterone,",1
glucocorticoid.,1
Tests,2
body,70
"mass,",5
hemoglobin,2
"concentration,",3
molt,10
date,12
complemented,7
evaluation,14
day,16
effect,81
corticosterone,6
secretion,2
free-living,9
rainforest,17
Analyses,3
partitioned,2
sex,15
separately,5
wedge-billed,2
woodcreeper,7
olive-striped,2
flycatcher.ResultsInterspecific,1
indicated,30
onset,10
phase,19
reductions,9
thereafter.,1
Stress-related,1
accompanied,5
sampled,36
September,5
November,4
period.,17
Baseline,1
negatively,13
mass,25
flycatcher.,1
substantial,12
sex-related,1
differences.ConclusionsThe,1
rhythmicity,1
robust,9
emerge,5
pooled,1
variable,28
dataset.,1
While,33
detection,8
nature,39
"singular,",1
correspondent,1
demonstrated,26
captive,4
Congruity,1
rhythms,1
links,11
physiological,13
life-history,6
disparate,4
environments,42
promote,11
yet,35
unresolved,1
utility,7
metric,3
health.,2
deviate,2
laboratory,12
field,76
"latitudes,",5
cautioning,1
generalization.,2
Environmental,8
distinctions,1
productivity,21
tempered,1
seasonality,13
precipitate,2
underlying,18
hormonal,4
mechanisms,53
birds.',8
'With,3
11,18
currently,49
recognised,8
genusEriocnemis,1
"(Reichenbach,",1
1849),1
diversified,4
trochilid,1
occupying,6
edges,5
cloud,48
On,30
distributional,18
morphological,85
highlights,18
taxon.,5
Characteristics,1
greenish,1
dorsal,4
"plumage,",2
conspicuous,5
mostly,34
whitish,2
tibial,1
"tufts,",1
fairly,11
tail,2
bifurcation.,1
help,21
plumage,16
synapomorphies,1
cladistic,6
"(PAUP*),",1
superspecies,3
distinguished:,1
theE.,3
vestitus,3
(incl.E.,3
"vestitus,",1
E.,29
"godini,",1
"nigrivestis),",1
luciani,4
"luciani,",1
"cupreoventris,",1
"sapphiropygia),",1
alinae,1
"alinae,",1
mirabilis).E.,1
"glaucopoides,",1
"mosquera,",1
andE.,2
derbyi,1
quite,6
morphology,32
requirements,13
Three,21
subspecies,28
"described,E.",1
arcosi,1
"Peru,",31
baptistae,1
Ecuador.,29
specimen,5
ofE.,2
represents,23
"Venezuela,",13
1100,2
northeast,7
"range,",10
taxonomically,3
asE.,1
"meridae,",1
subsp.,5
"nov.,",2
separation.,2
"Additionally,",18
type,41
ventralis,1
"(Salvin,",1
1891),1
hybrid,30
(E.,1
cupreoventris).,1
genus,81
subsequently,6
spreading,7
invading,1
Its,16
major,116
speciation,31
factor,34
inEriocnemis.',1
'I,4
"Cactaceae,",1
62,4
transect,11
nearby,2
site,61
Santa,7
Cruz,2
"department,",1
physiognomically,1
"distinctive,",1
"numbers,",1
comparatively,3
easy,5
"identify,",1
adequately,5
reflect,25
floristic,26
"relationships,",6
"forms,",7
small.,1
located,53
Tucumano-Boliviano,1
zone,46
included,43
drought-deciduous,1
evergreen,14
Podocarpus-dominated,1
Elevational,2
group-specific,1
ecophysiological,4
properties,18
group.,26
Melastomataceae,2
moss,5
"(i.e.,",18
"humidity),",1
temperatures),1
Acanthaceae,2
evapotranspiration,2
productivity),2
light,39
availability,35
ground,18
Cactaceae.,2
Community,4
generally,36
nonsignificant,1
decline,19
Endemism,2
"taxa,",24
compared,113
dispersal,109
groups.,17
"zonation,",1
tested,32
against,24
"limits,",2
accumulation,17
boundaries,11
corresponding,24
types.',1
expected,40
cause,25
"worldwide,",5
threatening,9
viability,5
due,135
altering,2
Biodiversity,7
might,51
particularly,80
vulnerable,20
hold,9
numbers,39
contract,1
track,8
optimal,8
habitat.,9
"study,",54
range-restricted,1
"Colombia,",30
megadiverse,5
Tumbes-Choco-Magdalena,1
hotspots.,6
developed,69
MAXENT.,1
projected,20
lose,5
average,31
33,7
future,88
"climate,",12
18,18
climatically,3
completely.,1
whose,17
disappear,2
Sierra,6
Nevada,4
de,34
Marta.,1
Depending,5
"considered,",6
represented,32
"future,",6
fraction,6
Additional,7
retain,3
representativeness,2
"areas,",47
monitoring,33
largest,31
declines,15
necessary,27
assess,57
need,65
implementing,5
counteract,2
'In,41
"Neotropics,",12
Ericaceae,6
Andean-centered,1
adapted,20
"moist,",1
"open,",3
cool,5
environments.,15
Overall,5
nearer,1
"Equator,",1
1000,8
3000,5
m.,16
genera,82
(70%,1
endemic),3
800,4
(ca.,9
94%,5
Five,6
recognized,40
neotropical,35
"Ericaceae,",4
greatest,19
Following,5
Pliocene/Pleistocene,1
mountain-building,1
"events,",16
underwent,3
life-form,1
"plasticity,",1
colonization,31
"abilities,",2
adaptation,30
"habits,",2
coevolution,7
hummingbirds.,6
Given,12
singularity,1
"alteration,",1
become,41
Neotropics.',3
prevalence,22
invasive,36
pathogenic,3
chytrid,1
fungus,4
Batrachochytrium,1
dendrobatidis,1
(Bd),1
amphibians,10
aim,26
"dispersion,",1
signature.,1
frog,9
tissue,6
samples,32
nine,22
museum,10
collections,18
covering,17
1863,1
2005,11
Bd,8
diagnosed,3
via,24
PCR,2
599,1
individuals,58
17,11
54,3
41%,2
44,2
tested.,2
incidence,14
Telmatobius,1
culeus,1
1863;,1
earliest,13
report,17
pathogen,5
world.,19
reveal,19
non-random,1
amphibian,23
presence,75
"strains,",1
ancient,22
introduction.,2
Prevalence,1
"mid-1990s,",1
"cloud-forests,",1
coincident,5
drastic,4
altiplano,3
persisted,5
spite,8
presence.,2
hypothesize,10
"1990s,",3
cloud-forests,1
center,15
epidemic,1
surge,2
toll,1
Telmatobius.,1
Further,9
sampling,55
cloud-forest,1
isolates,11
resolve,5
hypotheses,43
endangered,30
hosts.',2
'ContextTropical,1
fragmentation,34
magnitude,14
scope.,1
Much,3
paid,3
attributes,13
"structure,",24
impact,67
functional,84
vertebrate,18
"communities,",18
work,53
begun,2
consider,12
landscape-level,2
"variables,",13
surrounding,22
cover.,9
"Yet,",9
remain,23
"unclear,",2
under-studied,2
groups.ObjectivesWe,1
quantified,14
mammals,34
fragment,16
goal,11
explanatory,9
diversity.MethodsWe,1
motion-activated,1
camera,6
traps,10
sample,28
22,9
fragments,45
hierarchical,9
multi-species,2
occupancy,10
accounting,9
imperfect,3
estimate,26
weighted,3
multiple,44
regression,18
distance,26
covariates,1
RLQ,1
co-variation,1
traits.ResultsTerrestrial,1
exhibited,18
similar,90
guild-specific,1
differences.,5
Elevation,2
Forest,42
Canopy,3
openness,1
mammalian,10
richness.,15
associations,20
fragments.ConclusionsThis,1
shaping,13
heightened,2
sensitivity,24
'Several,3
coarse-scale,1
correlation,31
density.,8
paper,82
part,62
"highland,",1
finer,3
earlier,23
"studies,",18
pre-Columbian,5
centres.,1
close,39
correspondence,14
centres,4
cultures,9
"related,",2
"way,",4
much,67
longer,29
evolution,82
moderation,1
leading,26
"persistence,",3
wild,109
result,69
what,42
yields,7
people.,6
traditional,47
efforts,37
preserve,15
wilderness,3
people,37
populated,2
allowing,12
biologically,5
rich,21
persist,10
centres.',2
'Although,8
Archaic,4
Period,4
south-central,5
well-known,7
beyond,12
Latin,29
archaeologists,8
working,7
populations.,36
Like,4
North,63
European,24
"Mesolithic,",1
characterized,45
ethnic,4
"differentiation,",3
residential,2
"mobility,",4
resource,45
intensification,13
"specialization,",2
growth.,5
trajectory,3
discussed,39
context,26
"complementarity,",1
strategy,19
exploits,2
vertically,1
stratified,2
resources,48
environment.',6
'Tropical,2
typically,19
exhibit,25
pace,4
latitude,19
manifested,2
slow,9
"development,",13
"fecundity,",2
"this,",10
trade,9
reproductive,46
effort,22
favor,15
"self-maintenance,",2
thus,43
survival,25
reproduction.,6
"idea,",1
conducted,71
food,117
supplementation,4
experiments,24
rufous-collared,5
sparrows,2
(Zonotrichia,4
capensis),3
eastern,53
"experiment,",2
food-supplemented,4
pairs,15
non-breeding,5
"stage,",5
provisioning,3
fledglings.,1
"experiments,",2
pre-basic,1
(replacement,1
feathers),1
control,54
"knowledge,",11
experimentally,1
demonstrate,27
invests,1
extra,3
"molt,",2
contrasts,3
advance,3
initiation,3
"of,",8
syndrome,8
concept,19
fundamental,15
temperate-zone,1
'Forest,2
significance,17
deforestation,28
serious,10
problem.,4
Natural,13
diachronic,1
succession,9
differing,7
dominated,26
grass,3
(Pasture,1
"site),",1
post-fire,1
bracken,1
(Bracken,1
site),1
various,63
(Shrub,1
site).,1
effectiveness,14
manual,5
removal,14
competitive,11
herbaceous,16
accelerate,4
recovery.,2
Monitoring,5
"2003,",2
2007,3
48,5
subplots,2
recording,4
woody-species,1
Pasture,2
exotic,21
grasses,6
woody,25
recruitment,13
"density,",10
inhibition,2
successional,12
trajectory.,1
Bracken,3
Shrub,3
became,19
floristically,3
evidence,114
marked,17
facilitation,5
ground.,2
characteristics,55
classic,2
"succession,",1
showing,25
late-successional,1
site.,6
NMDS,4
trajectories,8
converging,1
Manual,3
weeding,1
ineffective,1
accelerating,2
limiting,12
competition,22
must,37
addressed,11
before,28
seed,127
"availability,",9
seems,24
constraining,1
direct,36
seeding,1
planting,9
recovery.',1
'Freshwater,1
