,Words,Frequency
139,chalk,1
140,high-density,1
141,created.,1
142,water,7
143,chances,1
144,proliferation,1
145,r\xc3\xa9v\xc3\xa9lent,1
146,status,2
147,largely,2
148,Earth,1
149,surveillance.,1
150,areas?,1
151,inter-comparison,1
152,occurrences,6
153,protection,2
154,for,61
155,l\xe2\x80\x99exotisme.,1
156,damage,1
157,Title:,23
158,progressed.,1
159,thoughts,1
160,needed.AbstractLocated,1
161,https://www.sciencedirect.com/science/article/pii/S0016718501000057,1
162,commonly,1
163,rearrangement,1
164,Editor,1
165,subaltern,2
166,networks,2
167,threatened,2
168,"anxiety,",1
169,Observatories,1
170,Author:,23
171,techniques,2
172,four,3
173,brief,1
174,de,9
175,Koyana,1
176,data',1
177,Environment,1
178,significantly,1
179,19\xe2\x80\xb2,1
180,achieve,3
181,efforts,1
182,followed,2
183,considering,1
184,ground,3
185,effect,1
186,predicting,1
187,strongly,1
188,Reserve.,1
189,time),1
190,flow,1
191,monetary,1
192,cover.,1
193,ongoing,2
194,plantations,1
195,1978,3
196,details,2
197,techniques',1
198,same,2
199,natural,4
200,degradationAbstractThe,1
201,mainstream,1
202,good,1
203,imageHighlights\xe2\x96\xba,1
204,mitochondrial,3
205,Cultivated,1
206,with,30
207,damages,1
208,subjects,1
209,World,5
210,cinereus),1
211,commodity,1
212,now,1
213,Papikondalu,1
214,February\xe2\x80\x93April,1
215,Biotechnology,1
216,assigned,1
217,India.\xe2\x80\xa2Risk,1
218,opportunity,1
219,URL:,23
220,use,5
221,"perspicillata),",1
222,'Factors,1
223,subcontinent.,1
224,Discovery,1
225,M.',1
226,TCP,1
227,resist,1
228,Hospitals,1
229,services,3
230,tourism.',1
231,life,2
232,arrangements,3
233,patch,1
234,yet,1
235,mega,1
236,(derived,1
237,comme,1
238,ranged,1
239,scenic,1
240,presence,1
241,new,1
242,dataset,1
243,root-mean-squared,1
244,characters',1
245,"evergreen,",2
246,primitivit\xc3\xa9,1
247,2050.,1
248,\xe2\x80\x98into,1
249,constitutes,1
250,sensed,1
251,United,1
252,(GBM),1
253,disservices,2
254,"range,",1
255,invaded,2
256,'Forest,1
257,take,1
258,proper,1
259,central,1
260,Most,1
261,analyzed,2
262,"deforestation,",1
263,iterative,1
264,resource-dependent,1
265,demands,1
266,Jaldapara,1
267,"commerce,",1
268,slow-flowing,1
269,seen,1
270,https://www.sciencedirect.com/science/article/pii/S0944501313000177,1
271,prime,1
272,https://www.sciencedirect.com/science/article/pii/S0964569113001166,1
273,(both,1
274,effectively,3
275,(>\xc2\xa0950\xc2\xa0m),1
276,controlled,2
277,monophyly,2
278,Program-Operational,2
279,Mean,1
280,propos\xc3\xa9e,1
281,linkages,1
282,India',5
283,developmental,1
284,world's,1
285,planning,6
286,landuse,1
287,number,3
288,repr\xc3\xa9sent\xc3\xa9e,1
289,pp.,3
290,Spatial,2
291,origin,2
292,protection.,2
293,paper,8
294,"avian,",1
295,uprooting,1
296,clade,1
297,strategy,1
298,'C.,1
299,extant,1
300,"pressure,",1
301,identifies,1
302,other,8
303,historians\xe2\x80\x99,1
304,regard,1
305,insect,3
306,long-term,2
307,outcomes,1
308,no,1
309,seaport,2
310,'\xe2\x80\x98British,1
311,FVCOM,1
312,preference,1
313,algorithm.,1
314,three-tier,2
315,supports,3
316,penetration,3
317,intensification,1
318,macro,2
319,700\xc2\xa0m.,1
320,Tiers,1
321,commensurate,1
322,(IRS-P6),1
323,severe,1
324,harbor,1
325,(78.8\xc2\xa0km2),1
326,Asia,3
327,(50%),1
328,previous,1
329,be,26
330,"Aalbersberg,",1
331,topographic,1
332,l\xe2\x80\x99\xc3\xa9tude,1
333,Self,1
334,dissonance:,1
335,declared,2
336,managed,1
337,campagnes,1
338,"""AbstractApplication",1
339,portraying,1
340,mind,1
341,keystone,1
342,hotspot.\xe2\x80\xa2Total,1
343,proximity,1
344,setup,1
345,neighboring,1
346,jeopardy,1
347,"i.e.,",1
348,7%,1
349,"(NFI),",1
350,Agricultural,1
351,travers,1
352,plants.,1
353,2008,1
354,hotspots.,1
355,scheduled,1
356,"mammalian,",1
357,where,5
358,persistence,1
359,statistically,1
360,cette,1
361,sequences,1
362,tool,2
363,S.,1
364,generic,2
365,article,6
366,temporal,1
367,assisted,1
368,derived,10
369,pr\xc3\xa9senter,1
370,30\xe2\x80\x9340%,1
371,time).,1
372,providing,1
373,valuable,1
374,Streptomyces,1
375,tiger,3
376,"process,",2
377,d\xe2\x80\x99un,1
378,examines,3
379,possibilities,1
380,awareness,1
381,avec,1
382,capabilities,1
383,appropriate,1
384,1992,1
385,reveals,1
386,Even,2
387,narrow,3
388,28,1
389,'Angshuman',1
390,factored,1
391,reduced,1
392,that,36
393,mass,1
394,represented,2
395,'Samuel',1
396,changes,1
397,infrastructure,2
398,national,5
399,damages.,2
400,implementing,1
401,https://www.sciencedirect.com/science/article/pii/S0264275115000785,1
402,hegemonic,1
403,"impacts,",1
404,Areas,2
405,Different,1
406,socio-economic,2
407,occurred,1
408,responsible,2
409,retract,1
410,research,5
411,full-size,1
412,population,5
413,"mangroves,",1
414,"density,",1
415,sources,1
416,better,2
417,demonstrated,1
418,province.,1
419,`sustainable,1
420,growing,4
421,Ghats,5
422,play,1
423,inclusion,1
424,"friction,",1
425,goals,1
426,Human,1
427,GIS,2
428,NGOs,2
429,been,14
430,information.\xe2\x80\xa2The,1
431,equitable,1
432,approximately,1
433,small-clawed,4
434,suitability,4
435,tigris,1
436,Spectroradiometer,1
437,Sri,2
438,delta:,1
439,Institution,1
440,income,1
441,Results,2
442,next,2
443,management.AbstractThe,1
444,"India.""",1
445,K.S.,1
446,Centre,1
447,main,1
448,corridor,2
449,des,1
450,demonstrate,1
451,bathymetry,2
452,preparing,1
453,States;,1
454,Marine,3
455,Military,1
456,valuation,3
457,Sample,1
458,ecologists,1
459,estuarine,1
460,"Contrastingly,",1
461,India,21
462,aspects,1
463,streams,3
464,over,12
465,gains,1
466,though,1
467,cited,1
468,metabolites.,1
469,between,9
470,interests,1
471,grid,1
472,04\xe2\x80\xb2,1
473,"quarter,",1
474,forest,46
475,Management,1
476,Monde,1
477,"(e.g.,",1
478,strong,2
479,correlated,1
480,others,1
481,planning.\xe2\x80\xa2Approach,1
482,test,2
483,channels.,1
484,favourably,1
485,https://www.sciencedirect.com/science/article/pii/S0160738305000861,1
486,data-poor,2
487,lack,4
488,"Reserve,",2
489,ecosystem,10
490,Satellite,4
491,sont,1
492,intact,1
493,dispersals,2
494,densities,1
495,logistic,1
496,preventive,1
497,E,1
498,daytime,1
499,elevation,2
500,"Brighton,",1
501,flow.,1
502,distributed,1
503,revived.,1
504,exists,1
505,Terai',1
506,cross-section,1
507,suitable,4
508,'Green,1
509,probable,3
510,0.86,1
511,conservation:,1
512,`CAMPFIRE',1
513,"rate,",1
514,approaches,1
515,methods.,1
516,Suavalle,1
517,degradation.',1
518,biodiversity,10
519,sensing,3
520,intrusion,1
521,thirteen,1
522,valley.,1
523,73\xc2\xb0,2
524,scattered,1
525,"disincentives,",1
526,eco-patches,1
527,performed,1
528,penetration.This,1
529,subregion.,1
530,mostly,3
531,many,2
532,coordinated,1
533,dans,2
534,political,2
535,actinobacterial,1
536,showed,4
537,Nallamala,1
538,date:,1
539,coordinates,6
540,conserve,1
541,expenditure,1
542,'AbstractThe,1
543,plants.',1
544,was,19
545,Institutional,1
546,influential,1
547,issues,1
548,national/regional,1
549,Par,1
550,preliminary,1
551,coast,2
552,collapse,1
553,digitally,1
554,concentrated,1
555,2016.,1
556,national-level,2
557,1975,1
558,refinery,1
559,"Reserve.Furthermore,",1
560,un,1
561,given,1
562,metropolitan,2
563,climate,1
564,m\xc3\xa9dias,2
565,following,1
566,benefits'),1
567,similar,2
568,paradigm,1
569,they,1
570,economic,5
571,Preservation,2
572,Scincidae),1
573,50-ha,1
574,breaking,1
575,too,1
576,ideological,1
577,found,8
578,ask,1
579,Entropy,1
580,National,12
581,2005),1
582,'AbstractRecent,1
583,25.8,1
584,Journal,1
585,stage,2
586,livelihood,1
587,23%.,1
588,genus,3
589,daytime.',1
590,and/or,2
591,network,2
592,ship,1
593,area),1
594,quelques,1
595,readily,1
596,management,12
597,text,1
598,Including,1
599,herb,1
600,processed,1
601,adaptive,1
602,break,1
603,presented,1
604,recommended,2
605,transaction,1
606,(Lutrogale,1
607,at,17
608,"functional,",1
609,"environmental,",1
610,Remote,2
611,taxonomic,1
612,overview',2
613,phylogeny,3
614,Imaging,1
615,names,1
616,likely,2
617,occidentale,1
618,priority,2
619,"Pradesh,",2
620,representative,1
621,compares,1
622,'Highlights\xe2\x80\xa2In,1
623,needs,1
624,Barak,3
625,"era,",1
626,phase,1
627,"surveys,",1
628,micro,2
629,Mikania,2
630,trial\xe2\x80\x99:,1
631,without,1
632,India:,2
633,historical,5
634,time.,1
635,Article,1
636,works,1
637,going,1
638,powerful,1
639,hub.\xe2\x80\xa2Population,1
640,discount,1
641,behavior,1
642,Eutropis,3
643,example,1
644,US$,2
645,increasing,3
646,unique,1
647,analyses,1
648,agricultural,5
649,biology,1
650,retracted:,1
651,city.,1
652,radiation',1
653,creation,1
654,"IRS-P6,",1
655,"channels.""",1
656,institutions,5
657,fragmentation,1
658,agreed,1
659,When,1
660,(2009\xe2\x80\x932014),1
661,"elevation,",1
662,NAPIS,1
663,consideration,2
664,altitude,1
665,communities.,2
666,means,1
667,due,6
668,stations,1
669,Global,2
670,temperate,1
671,Deforestation,1
672,activity,1
673,actinomycetes:,1
674,copied,1
675,we,3
676,resolution,1
677,higher,3
678,business,1
679,establishes,1
680,hotspots,7
681,shape,1
682,around,2
683,suggested,2
684,years,2
685,"growers,",1
686,discounted,1
687,livelihoods.AbstractMineral,1
688,often,4
689,especially,4
690,Various,1
691,precipitation,1
692,"(2012),",1
693,"tigers,",1
694,Focussing,1
695,different,8
696,12%,1
697,perfect,1
698,Communal,1
699,actors,2
700,policies,3
701,elle,1
702,Mineral,1
703,comparatively,1
704,favour,1
705,oil,1
706,caused.',1
707,fa\xc3\xa7onnent,1
708,further,1
709,populations.',1
710,sensors.Results,1
711,defensive,1
712,"survey,",1
713,unstructured,1
714,les,7
715,regions,1
716,change,2
717,dispersal-vicariance,1
718,assignment,1
719,que,1
720,problems.\xe2\x80\xa2An,1
721,Bay,1
722,conflicts.\xe2\x80\xa2Conflicts,1
723,challenge,2
724,high,7
725,tigers,2
726,has,16
727,Asia.',1
728,framework,5
729,"Plots,",3
730,43\xe2\x80\xb3,1
731,intricate,1
732,16.6%,1
733,case,3
734,flowering.,1
735,seasonality,1
736,Once,1
737,constituency,1
738,crops,1
739,above,1
740,characteristics.,1
741,population.,1
742,growers,1
743,physiognomies,1
744,included,1
745,enhance,1
746,remaining,1
747,impacts,2
748,hierarchical,1
749,delineation,1
750,multiple,3
751,Advanced,1
752,movements,1
753,divert,1
754,livable,1
755,Plot,1
756,conflicts,6
757,Pseudococcidae),1
758,so,2
759,started,1
760,letters,1
761,"social,",1
762,Using,2
763,suggests,1
764,construe,1
765,contradictoires,1
766,'Highlights\xe2\x80\xa2Table,1
767,geospatial,1
768,their,4
769,ha,1
770,\xc3\xa9tait,1
771,cases.\xe2\x80\xa2Mining,1
772,average,2
773,very,3
774,factors.\xe2\x80\xa2Statistical,1
775,"stakeholders,",1
776,selection,1
777,value,8
778,sharing,1
779,controls,2
780,Sensing,1
781,establishing,1
782,predictors,1
783,losses.,1
784,Park,6
785,Microbiology,2
786,about,6
787,fires,18
788,dwellers.,1
789,examined,2
790,decentralized,1
791,pay,1
792,DIVA,1
793,island,1
794,open,2
795,nature,2
796,officials,1
797,refl\xc3\xa9tent,1
798,causing,1
799,(PA),1
800,several,3
801,"illegal,",1
802,d\xe2\x80\x99images,1
803,leurs,1
804,repr\xc3\xa9sentations,2
805,horned,1
806,Resistance,1
807,forests,11
808,'AbstractMonitoring,1
809,System,4
810,order,2
811,(1975\xe2\x80\x931985\xe2\x80\x931995\xe2\x80\x932005\xe2\x80\x932014),1
812,bioactive,2
813,Tropical,1
814,southwestern,1
815,indicated,4
816,distributions,1
817,growers/farmers\xe2\x80\x99,1
818,quite,2
819,"sanctuary,",2
820,products),1
821,high.,2
822,societal,1
823,managing,2
824,have,11
825,core,2
826,Nested,1
827,hub,1
828,Rs,3
829,vanish,1
830,approach,3
831,SE,2
832,If,2
833,system.,3
834,In,6
835,human-wildlife,1
836,Government,1
837,re-measurements.,1
838,"processes,",1
839,Tidal,1
840,"apparel,",1
841,r\xc3\xa9sister,1
842,"location,",1
843,added,2
844,context,3
845,participant,1
846,postcolonial,1
847,HSI,1
848,participation,1
849,lutra),1
850,sympatric,2
851,pattern,1
852,sampled,1
853,map,3
854,surrogate,1
855,northern,5
856,members,4
857,skink,2
858,"new.""",1
859,third,1
860,450,1
861,https://www.sciencedirect.com/science/article/pii/S2287884X18300542,1
862,decision,2
863,Case,1
864,development',1
865,gaps,1
866,https://www.sciencedirect.com/science/article/pii/S0304380009004402,1
867,"cover,",1
868,generate,3
869,176.52\xc2\xa0km2,1
870,varying,1
871,\xe2\x88\xbc\xc2\xa010\xc2\xa0pm,1
872,region.,3
873,annually.,1
874,areas,9
875,13\xe2\x80\x93148,1
876,'K.N.',2
877,diff\xc3\xa9rentes,1
878,services.,1
879,War,1
880,rivers,2
881,consecutive,2
882,ignored,1
883,departments,1
884,'An,1
885,(latitude/longitude),1
886,twice,1
887,"high-elevation,",1
888,moyen,1
889,economy.\xe2\x80\xa2Traditional,1
890,'Ranjan',1
891,fragmentation.,1
892,\xe2\x88\xbc\xc2\xa07\xc2\xa0pm,1
893,hills,1
894,Indigenous,1
895,ore,1
896,abstractDownload,1
897,modelling.Results,1
898,ancient,1
899,exhaustive,1
900,clade.,1
901,literature,2
902,limit,1
903,managers,2
904,perspectives,1
905,definition.,1
906,exotic,3
907,viz.,1
908,PAs,1
909,well,3
910,locations,2
911,could,1
912,neighbouring,1
913,February\xe2\x80\x93March;,1
914,individual,1
915,Molecular,1
916,The,37
917,still,1
918,region,17
919,including,6
920,after,1
921,lands.\xe2\x80\xa2Modelling,1
922,bottom,2
923,(Lutra,1
924,semi,1
925,methods,1
926,strategic,2
927,decrease,2
928,alternative,4
929,cover,7
930,Forest,3
931,southern,7
932,applicable,1
933,small-scale,1
934,dont,1
935,\xe2\x80\x93,7
936,"origin,",1
937,2005,2
938,low,1
939,rural,3
940,government,4
941,aid,1
942,India.,11
943,consciousness,1
944,"Punjab,",1
945,continued,1
946,\xc3\xa1,2
947,land,8
948,1,1
949,mixed,1
950,undermining,1
951,to,119
952,(https://www.elsevier.com/about/our-business/policies/article-withdrawal).This,1
953,Peninsula,1
954,nested,1
955,via,1
956,(55%),1
957,continuity,1
958,proportionately,1
959,reflects,1
960,17,1
961,own.,1
962,monitoring.\xe2\x80\xa2FOS,1
963,countries,5
964,environmentalists.,1
965,nighttime,3
966,"decade,",1
967,provisions,1
968,procured,1
969,mapping,1
970,"species,",2
971,facing,1
972,pressures.,1
973,stakeholders.\xe2\x80\xa2Local,1
974,2014.,2
975,society,2
976,(LULC),1
977,l\xe2\x80\x99image,1
978,validity,1
979,"sum,",1
980,set,1
981,ensure,1
982,each,2
983,25985\xc2\xa0km2,1
984,1976,1
985,"preliminary,",1
986,"local,",1
987,generating,1
988,Field,1
989,intended,1
990,Maximum,1
991,"studies,",2
992,'Ruchi',1
993,geographical,1
994,destinations,4
995,making,2
996,slums.,1
997,'Valuing,1
998,pests,1
999,analysis,13
1000,Statistical,1
1001,"Fortunately,",1
1002,second,1
1003,old,1
1004,landscape,1
1005,analytical,1
1006,annum.\xe2\x80\xa2Per,1
1007,fulfill,1
1008,methodological,1
1009,costs,7
1010,expected,2
1011,suited,2
1012,occurrences.\xe2\x80\xa2All,1
1013,Habitat,1
1014,Terai,1
1015,systems,2
1016,sustainability,1
1017,"contraste,",1
1018,current,6
1019,MODIS,1
1020,freshwater,1
1021,complement,1
1022,pressure,1
1023,across,3
1024,extracted,1
1025,"Moreover,",1
1026,Southeast,3
1027,fa\xc3\xa7ons,1
1028,"costs,",1
1029,du,4
1030,pass,2
1031,Kunth,2
1032,reduction,1
1033,plots,3
1034,through,6
1035,Linescan,2
1036,products,6
1037,Editor.,1
1038,a,79
1039,surveillance,2
1040,Ghats',1
1041,Increment,2
1042,composed,1
1043,'Highlights\xe2\x80\xa2LULC,1
1044,its,12
1045,database,1
1046,forest.,1
1047,prisme,1
1048,model).,1
1049,increased,3
1050,To,1
1051,GBM,2
1052,human,3
1053,are,32
1054,sanctuary,3
1055,identification,1
1056,"deciduous,",2
1057,meeting,1
1058,our,1
1059,capture,3
1060,inventory,1
1061,"Further,",1
1062,"demands,",1
1063,integrated,5
1064,"study,",2
1065,sequenced,1
1066,"plus,",1
1067,focused,1
1068,"Lam,",1
1069,diverse,4
1070,English,1
1071,ordination,1
1072,Asian,11
1073,attempt,1
1074,studies,6
1075,'Rajarshi',1
1076,in,152
1077,differed,1
1078,civil,1
1079,l\xe2\x80\x99Inde,2
1080,evaluation,2
1081,bear,1
1082,considerable.,1
1083,(16.2%,1
1084,assess,1
1085,Sudhakar',1
1086,remote,2
1087,solenopsis,6
1088,finite,1
1089,'V.P.',1
1090,May.,1
1091,parts,1
1092,ecological,12
1093,there,1
1094,what,1
1095,essential,3
1096,considerations,2
1097,Article/ResearchEcological,1
1098,discussed,1
1099,subsequent,4
1100,transcend,1
1101,(25\xe2\x80\x9330\xc2\xa0km2),1
1102,climatic,1
1103,predictions,1
1104,"Therefore,",1
1105,(8.4%),1
1106,needs.',1
1107,beyond,1
1108,index,1
1109,among,5
1110,is,50
1111,ideal,1
1112,politics,1
1113,complex,2
1114,averaged,1
1115,small,2
1116,activities.,2
1117,L\xe2\x80\x99objet,1
1118,'Original,2
1119,intangible,1
1120,information,1
1121,hotspot-I.,2
1122,major,5
1123,involved,1
1124,LTRS,1
1125,threats.,1
1126,https://www.sciencedirect.com/science/article/pii/S0034425706001209,1
1127,priorities,2
1128,'Shovik',1
1129,Policy,1
1130,Chandoli,7
1131,Asia.,1
1132,observations,3
1133,thorn,1
1134,(MaxEnt),1
1135,park,6
1136,globalized,1
1137,influence,1
1138,Ganges-Brahmaputra-Meghna,1
1139,"rivers,",1
1140,571\xe2\x80\x93580;,1
1141,Taking,1
1142,Northeast,3
1143,"(CTFS\xe2\x80\x93SIGEO),",1
1144,critiqu\xc3\xa9,1
1145,observed,2
1146,remain,1
1147,"Dharmaraj,",1
1148,compensation,1
1149,not,3
1150,additional,1
1151,'Institutional,1
1152,distinguishing,1
1153,"sand,",1
1154,https://www.sciencedirect.com/science/article/pii/S2212041616300869,1
1155,"layers,",1
1156,marine,1
1157,larger,3
1158,"roughness,",1
1159,urgently,1
1160,Narasimha,1
1161,elle-m\xc4\x9bme.,1
1162,foregone.,1
1163,modelling.,1
1164,"Park,",3
1165,effective,4
1166,strongest,1
1167,destabilise,1
1168,40.2%,1
1169,200,1
1170,LISS-III,1
1171,terms,4
1172,highly,1
1173,shows,2
1174,fell,1
1175,modeling,2
1176,\xe2\x80\x9cbinomial,1
1177,source,2
1178,smooth-coated,2
1179,occurrence,3
1180,\xc3\xa9tude,1
1181,"(2010),",1
1182,'AbstractThis,1
1183,Venkateshwara,1
1184,regional,1
1185,average.,1
1186,"states,",1
1187,NP,1
1188,salinity,1
1189,"R.,",1
1190,"However,",5
1191,design,2
1192,serious,4
1193,available,2
1194,Both,2
1195,"profileChittagong,",1
1196,Haryana.,1
1197,typical,1
1198,various,1
1199,discharge.,1
1200,past.\xe2\x80\xa2Chronological,1
1201,Information,2
1202,communities,4
1203,postcoloniale,1
1204,located,1
1205,Re-measurement,1
1206,back,2
1207,tourisme,2
1208,r\xc3\xa9sultats,1
1209,emphasize,1
1210,completed,1
1211,terrain,1
1212,"forests,",1
1213,reprsentative:,1
1214,Count,1
1215,differences,1
1216,sufficiently,1
1217,focus,3
1218,mining,1
1219,landscapes.,1
1220,rivers.,2
1221,d\xe2\x80\x99interpr\xc3\xa9ter,1
1222,markedly,1
1223,claim,1
1224,"wildlife,",1
1225,positive,1
1226,potential,10
1227,'Highlights\xe2\x80\xa2First,1
1228,into,7
1229,'AbstractInvasion,1
1230,livelihoods.,1
1231,edge',1
1232,quality,1
1233,higher-elevation,1
1234,variables,5
1235,sound,1
1236,agreement,1
1237,245\xe2\x80\x93251;,1
1238,non-fuel,1
1239,"Inland,",1
1240,"contrast,",2
1241,Biodiversity,1
1242,truthing.,1
1243,late,1
1244,season),1
1245,AWiFS,4
1246,(AWiFS),1
1247,conflict.,1
1248,Eurasian,2
1249,thousand,2
1250,generated,6
1251,February,3
1252,tree,2
1253,This,11
1254,framework.,2
1255,En,1
1256,dynamics.\xe2\x80\xa2FOS,1
1257,extreme,1
1258,sustainable,1
1259,as,33
1260,sections,1
1261,model's,1
1262,invasion,3
1263,combine,1
1264,criticized,1
1265,20%,1
1266,https://www.sciencedirect.com/science/article/pii/S0899536298000281,1
1267,day,3
1268,attention.',1
1269,ArticleConservation,1
1270,date.,1
1271,movements.,1
1272,determine,1
1273,campaigns,1
1274,global,1
1275,Papikonda,1
1276,FOS,1
1277,2123\xe2\x80\x932139.,1
1278,direct,1
1279,"it,",1
1280,overlaid,1
1281,69%,1
1282,established,1
1283,conflicts.',1
1284,ease,1
1285,per,5
1286,brings,1
1287,on,17
1288,patches,1
1289,N,2
1290,(FVCOM),1
1291,validating,1
1292,encouraged,1
1293,reservoirs,1
1294,98%.,1
1295,predicted,5
1296,Strong,1
1297,Ray',1
1298,canopy.,1
1299,extraction,5
1300,towards,1
1301,'Srikonda',1
1302,support,1
1303,growth,3
1304,biodiverse,1
1305,(Panthera,1
1306,maps,2
1307,widespread,1
1308,prioritizes,1
1309,study,25
1310,lower,1
1311,2390\xc2\xa0km2,1
1312,trends,2
1313,Sothern,1
1314,designation,1
1315,"challenges,",1
1316,Image',1
1317,Its,1
1318,`cutting,1
1319,dimensional,1
1320,being,1
1321,protect,1
1322,MaxEnt,5
1323,"Furthermore,",1
1324,P.,5
1325,biosecurity,1
1326,need,4
1327,"organizations,",1
1328,(TRP).,1
1329,eco,1
1330,perspectives',1
1331,vary,1
1332,sensor.,1
1333,investigate,1
1334,considered,1
1335,flora,1
1336,threat,5
1337,organized,1
1338,https://www.sciencedirect.com/science/article/pii/S2212609015000102,1
1339,the,267
1340,entre,1
1341,54\xe2\x80\xb3,1
1342,Arguments,1
1343,integrity.',1
1344,pits,1
1345,Evaluation,1
1346,(DMSP-OLS,1
1347,recorded.,1
1348,Abstract:,23
1349,"region,",1
1350,or,1
1351,characterized,1
1352,"stations,",1
1353,negatively,1
1354,So,1
1355,grassland,2
1356,conservation.,1
1357,lung,1
1358,"Bengal,",1
1359,secondary,1
1360,validated,3
1361,empirical,1
1362,"rearrangement,",1
1363,western,1
1364,impact,2
1365,Resources,1
1366,West,1
1367,inconvenience,1
1368,(17\xc2\xb0,1
1369,intrinsic,2
1370,'Highlights\xe2\x80\xa2Classified,1
1371,incurred,2
1372,hospital,1
1373,organize,1
1374,causes,4
1375,education,1
1376,sensitivity,1
1377,spread,1
1378,'Predicting,1
1379,maintenance,1
1380,'Lucy,1
1381,Vijayawada,4
1382,'Nazimur,1
1383,contingent,1
1384,assessing,1
1385,rule,1
1386,attitude,1
1387,\xe2\x88\xbc\xc2\xa010:30\xc2\xa0am,1
1388,conservation.',1
1389,diff\xc3\xa9rences,1
1390,Microbiological,1
1391,created,2
1392,elaborate,1
1393,competition.The,1
1394,foregone,1
1395,mangroves,1
1396,years.\xe2\x80\xa2Small-scale,1
1397,spaces,1
1398,covering,3
1399,problems,3
1400,Parks,1
1401,connects,1
1402,coldest,2
1403,plants,2
1404,Thus,1
1405,advance,1
1406,extinction,1
1407,nine,1
1408,dense,3
1409,distant.,1
1410,5.5\xe2\x80\x9317\xc2\xa0million,1
1411,holding,2
1412,quarters,1
1413,endemic,6
1414,preferred,3
1415,6003,1
1416,observes,1
1417,Valley,1
1418,"worldwide,",1
1419,`ground,1
1420,20,1
1421,competitor,1
1422,observational,3
1423,'Highlights\xe2\x80\xa2Chittagong,1
1424,occurrences.\xe2\x80\xa2Predicted,1
1425,if,2
1426,Western,9
1427,values,2
1428,"167(10),",1
1429,partially,1
1430,American,1
1431,hillocks,1
1432,"Agency,",1
1433,Targets.AbstractTourism,1
1434,became,1
1435,risk,3
1436,10\xc2\xa0cm,1
1437,imperial,2
1438,Bangladesh.,1
1439,whereas,1
1440,precise,6
1441,'This,1
1442,explore,1
1443,degradation,7
1444,like,3
1445,pit,1
1446,satellite,4
1447,Pradesh,1
1448,corridors,2
1449,assessed,1
1450,gouvernement,1
1451,"management,",1
1452,augmentation,1
1453,community,5
1454,"observations,",1
1455,Bengal,1
1456,native,1
1457,soldiers\xe2\x80\x99,1
1458,carried,3
1459,Comparison,2
1460,https://www.sciencedirect.com/science/article/pii/S0168169914000428,1
1461,deforested,1
1462,indicating,1
1463,common,1
1464,Current,2
1465,"26(12),",1
1466,highlights,3
1467,types,4
1468,examples,1
1469,household,2
1470,Les,1
1471,conflict,2
1472,endangered,2
1473,'Evaluation,1
1474,"proportion,",1
1475,analyze,1
1476,"landscape,",1
1477,\xe2\x80\x98Mabuya\xe2\x80\x99,2
1478,Precipitation,3
1479,wider,2
