Words,Frequency
24,94
irreplaceable,9
sites,1499
terrestrial,426
"Forest,",109
data.',24
'Floristic,3
differentiation,273
vegetation,1546
definition,44
important,1877
step,79
recognize,35
conservation.,142
"Here,",272
aim,278
verify,34
costal,5
lowland,141
littoral,49
congruent,27
climatic,556
gradient,297
previous,261
definitions.,8
Additionally,5
discussed,182
importance,761
terms,343
Our,1035
floristic,225
geo-climatic,4
58,25
published,195
surveys.,30
generate,107
checklist,15
1088,2
woody,245
verified,31
Detrended,7
Correspondence,26
Analysis,134
(DCA).,2
priori,15
posteriori,2
classification,262
TWINSPAN.,3
DCA,12
TWINSPAN,13
resulted,299
determined,384
mainly,538
rainfall,316
soil,2417
sandiness,2
Those,36
coastal,1269
comprises,52
distinctive,58
representing,195
scrubs,3
wetter,34
climates,34
(Ombrophilous,2
forests),9
states,178
Santa,59
"Catarina,",12
Paulo,84
drier,65
"Santo,",20
Rio,177
de,283
Janeiro,61
(Restinga-Northern,2
group),6
Grande,59
do,481
Sul,17
(Restinga-Southern,2
states.,29
historical,418
relationships,513
Ombrophylous,2
Restingas,3
should,888
conservative,26
treat,18
collectively,16
hotspot.',6
'Global,19
trends,378
migration,231
population,1689
urbanization,126
opportunities,130
nature,306
"conservation,",134
particularly,525
regions,735
deforestation,204
driven,120
subsistence,43
agriculture.,61
analyzed,494
role,758
rural,250
driver,45
contribution,238
urban,781
growth,959
1970,19
present,1074
"Argentina,",29
global,922
priority.,14
created,136
future,800
land-use-cover,2
scenarios,207
human,1244
demographic,127
parameters,355
land-cover,76
change,1566
2006.,25
"2006,",20
native,1058
covered,98
50%,104
"province,",10
2030,7
predicted,260
decrease,345
ranged,280
18,101
39%,7
Between,37
"2001,",27
migrants,30
20%,58
expected,395
represent,252
10%,57
2030.,7
This,2440
modeling,175
approach,656
shows,290
planning,246
favor,33
little,400
impact,827
areas.',64
'This,350
focuses,92
knowledge,640
medicinal,138
(rural,2
inhabitants,33
"coast,",56
Brazil).,17
"particular,",99
examine,308
sex,89
age,291
reveal,132
general,346
patterns,1168
resources.,130
Data,176
collected,877
449,2
interviews,65
12,202
communities,994
(Rio,10
sites),15
include,404
citations,7
249,2
227,3
show,768
introduced,246
opposed,18
Forest.',18
'A,301
viability,73
analysis,1564
(PVA),6
computer,21
package,9
VORTEX,3
conducted,476
minimum,131
viable,94
(MVP),4
endemic,409
marsupial,12
Micoureus,6
paraguayanus.,5
objectives,122
were:,29
estimate,303
genetic,1777
MVPs,5
quasi-extinction,3
"modeling,",18
suitable,286
"(MASH),",2
apply,64
IUCN,56
red,185
list,93
criteria,150
so,291
proper,41
status,420
classification.,19
model,1218
populations,1749
100,127
2000,121
necessary,226
achieve,93
"stability,",25
"respectively,",144
frame,27
sensitive,237
inbreeding,87
"depression,",9
mortality,211
reproduction.,26
MASH,3
estimated,511
contain,99
genetically,96
"Fortunately,",2
quite,80
number,1289
remnants,111
equal,58
larger,450
this.,13
Isolation,4
suggested,302
principal,159
threat,179
facing,52
M.,230
"Therefore,",255
promoting,60
conditions,1007
dispersal,377
together,188
efforts,309
dealing,33
"translocation,",3
prove,20
appropriate,227
management,1802
strategies,488
paraguayanus,3
stage.,26
A,1495
composed,113
holding,17
smaller,250
harboring,12
metapopulations,4
maximize,31
probability,167
scenario,126
paraguayanus.',2
suffered,49
severe,185
geographic,478
contraction,11
centuries,49
reduced,445
drastically,27
vascular,143
epiphyte,34
populations.,366
Among,148
range,1023
man-made,29
"matrixes,",2
monocultures,30
potential,1432
contribute,300
positively,230
maintenance,167
regional,811
diversity.,155
test,338
similarity,193
"abundance,",140
composition,961
epiphytic,56
established,321
managed,162
exotic,242
natural,1749
occurring,242
neighboring,45
Araucaria,77
Francisco,20
Paula,2
National,364
"state,",69
"Brazil),",11
recorded,457
62,21
300,58
phorophytes,4
"12,",11
one-hectare,3
plots,342
plantations,163
"Pinus,",4
Eucalyptus,51
Araucaria.,2
Species,259
rarefied,4
abundance,934
significantly,1115
higher,1681
comparison,246
stands.,59
substantially,100
differentiated,66
harbored,10
zoochorous,3
"Additionally,",128
"angustifolia,",10
"species,",1207
sustained,49
plantations.,45
Neither,14
height,185
nor,92
DBH,33
explained,323
richness;,16
"however,",436
phorophyte,10
diversity,2149
stand,181
accounted,134
92%,8
among-site,3
variation,939
richness.,91
conclude,198
substrate,110
heterogeneity,151
combination,277
colonization,128
beta-diversity,4
epiphytes,27
experimental,178
order,686
disentangle,13
quality,796
metapopulation,15
"processes,",82
"limitation,",9
temporal,420
spatial,1401
scales.',14
encompasses,19
"biodiversity,",133
endemism,84
degradation;,3
"hence,",14
particular,279
interest,160
biological,643
aimed,228
investigate,300
actual,107
"and,",241
indicator,230
"type,",86
Subtropical,14
Forest.,77
analysed,171
relative,718
constancy,8
determine,594
"distribution,",157
obtained,392
21,84
modelled,38
maximum,293
entropy,16
algorithm.,7
pooled,13
yield,162
single,337
"map,",21
predict,193
suitability,159
South,585
America.,157
showed,1432
restricted,238
angustifolia,41
Euterpe,17
edulis,42
categorized,23
sum,29
indicator-species,2
southern,777
region,868
Brazil,336
southeastern,270
"highlands,",6
few,484
seasonal,431
elevations,64
Bolivian,9
Andean,34
"Piedmont,",9
exhibited,193
best,315
suitability.,7
Elevation,9
variable,234
models.,95
Given,87
concerning,109
degradation,237
presence,579
endangered,293
relevant,218
"areas,",343
highlighting,54
uniqueness,33
urgent,63
necessity,28
preserving,56
heritage.',6
(sensu,8
lato),4
constituted,24
Dense,16
Ombrophilous,14
Mixed,15
Seasonal,43
Semideciduous,7
distributed,339
"gradients,",28
whichever,2
"latitude,",13
"longitude,",3
altitude,103
considered.,50
investigated,523
whether,430
herb,29
living,170
floor,44
same,551
pattern.,41
If,98
herb-layer,6
coincident,11
"patterns,",92
units,184
sets;,2
"otherwise,",3
actions,152
taken.,10
built,76
presence/absence,18
803,2
80,44
surveys,209
performed,271
"UPGMA,",3
CA,7
RDA,5
multivariate,101
analyses,520
degree,315
agreement,79
led,192
us,164
assume,29
flora,184
occurs,186
gradients,169
three,1686
main,739
groups:,32
Tropical,46
(mostly,19
"forests),",7
montane,94
upper-montane,2
lower,978
latitudes,27
sub-montane,3
"latitudes,",13
"i.e.,",90
temperature,603
"lower),",3
(with,31
marked,108
dry,602
season).,7
Based,247
processes,685
herbs,34
"trees,",135
encompass,27
"diversity,",265
creating,73
reserves,123
"""The",94
causes,172
south-eastern,36
cocoa,112
State,140
Bahia,53
survey,312
planter's,2
attitudes.,3
Large,48
land-owners,8
responsible,190
clearing,37
occurred,474
past:,2
prices,26
compensated,12
investment,47
planted,124
planters',2
forested,304
land-holdings.,2
recent,629
"clearing,",9
sell,4
earn,3
income,52
depressed.,2
nonetheless,8
interested,30
conserving,69
Policies,4
encouraging,19
private,89
development,1037
forest-conserving,2
agricultural,743
alternatives,40
landless,3
poor,156
"recommended.""",2
'Current,11
sufficient,119
define,88
risk,470
Deficient,4
(DD),2
planners,22
keep,30
them,397
planning.,41
systematic,120
benefit,121
inclusion,76
because,658
lead,285
comprehensive,175
actions.,28
DD,19
alters,22
configuration,40
"networks,",20
amphibians,54
study.,117
To,545
influence,866
"inclusion,",4
aiming,51
represent:,2
(1),420
species;,56
(2),426
plus,64
(3),291
following,368
proportion,317
amphibian,69
worldwide.,58
networks.,13
"Furthermore,",210
cells,77
being,627
concentrated,104
northern,591
localities,105
description,82
might,361
indicate,604
new,1335
discoveries.,2
help,270
preserve,79
traits,275
evolutionary,295
defy,3
Linnean,3
shortfall,3
improve,304
biodiversity.',43
diverse,347
ecosystems,659
"world,",84
classified,203
hotspots.,16
"loss,",63
"overexploitation,",4
alien,148
disease,127
pollution,268
threats,148
faced,33
fauna,241
flora.,30
lack,294
adequate,91
taxonomic,381
hinders,11
true,83
"mammals,",46
charismatic,5
group,594
animals,220
traditionally,47
receive,49
good,216
deal,39
attention,199
scientists,80
public,253
general.,10
examples,123
gap,63
information,885
demise,7
misguiding,2
strategies:,5
molecular,277
hidden,14
diversity;,18
seriously,27
threatens,25
rodent,38
conservation;,4
rearrangement,7
genusBrachyteles,2
revealed,584
great,280
New,372
"discovered,",4
described,420
taxonomically,24
rearranged,2
astounding,3
rate.,47
successful,179
least,408
what,217
trying,16
preserve.,2
That,19
researchers,59
public.,6
Recent,78
revisions,13
turning,13
point,252
"which,",37
coupled,152
awareness,65
people,192
rich,175
dot,5
"backyards,",3
better,448
prospect,8
endemics,25
considered,624
biodiversity.,142
It,795
today,35
remaining,214
primary,415
covers,44
7.5%,6
original,164
area.,348
Bromeliad,2
components,250
biome.,27
Some,191
"endemic,",15
Vriesea,5
reitzii.,5
Tissue,7
culture,83
techniques,229
often,556
employed,92
mass,281
propagation,37
bromeliad,26
work,386
describe,248
procedure,67
micropropagation,12
vitro,63
V.,30
Seedling,8
explants,17
cultured,20
MS,31
LPm,2
liquid,27
media,27
supplemented,45
"BA,",3
NAA,8
GA3.,2
induction,27
multiplication,12
shoots,44
observed,1091
medium,139
BA,11
half-strength,3
medium.,13
Shoot,8
elongation,24
GA3,4
enabled,54
efficient,130
proliferation,33
system.,154
acclimatization,5
longer,141
100%,49
survival,351
rate.',5
'Fragmentation,4
leads,74
decline,311
"bees,",30
stingless,44
bees,141
compose,13
abundant,338
pollinator,33
neotropical,82
rain,203
Considering,62
forage,36
above,247
ground,197
nest,142
effectiveness,129
artificial,123
bee,106
shelters,23
strategy,202
habitats.,228
Artificial,8
installed,33
monitored,106
Four,111
(5.5%),3
successfully,103
colonized,51
Scaptotrigona,10
postica,3
"(Latreille,",2
1807),2
23,67
(32%),3
contained,153
signs,51
initial,185
traces,14
dead,91
bees.,18
Difficulties,5
colonizing,24
included,375
water,2651
"accumulation,",19
"predation,",19
occupation,46
related,1098
hollows,4
trees.,106
supported,169
swarming,5
providing,212
nesting,118
assisted,18
self-maintenance,2
scarce,38
sites.,374
studying,51
environment,364
evaluating,111
strategies.',24
hottest,4
hotspots,79
Within,97
"biome,",32
inselbergs,8
isolated,364
granitic,7
gneiss,2
rocks,60
rise,187
sharply,16
surrounding,225
Due,81
prevailing,40
stressful,28
resource,470
paucity,17
"inselbergs,",6
formed,126
rocky-associated,2
"vegetation,",159
comprise,57
unusually,19
levels,1169
competitiveness:stress-tolerance:ruderalism,2
"inselberg,",3
tested,354
connection,46
structure,1156
functional,437
"traits,",48
represents,126
major,956
inselberg,9
communities.,200
Despite,218
relatively,615
"strategies,",56
lied,2
S,95
C,467
strategy.,28
invasive,395
Melinis,2
"repens,",3
"turn,",28
functionally,23
"communities,",148
predominance,27
ruderalism.,2
correlated,533
"driver,",4
structuring,71
heterogeneous,83
environment.,131
Since,140
spatially,175
"heterogeneous,",9
availability,398
implies,39
favouring,14
invasive-prone,2
others.,32
significant,1411
advances,54
identifying,127
drivers,145
invasion,226
resource-limited,2
environments.,115
argue,72
trait-based,11
approaches,270
developing,239
especially,591
context,212
rapid,306
forest.',28
'Given,8
pollinators,38
around,357
concentrate,21
(AF),11
Orchid,3
AF,41
indicators,305
quality.,82
result,506
impacts,787
caused,385
activities.,103
climate,1969
modelling,96
infer,47
refuge,56
orchid,56
From,157
235,6
ten,137
current,755
"days,",25
Mid-Holocene,5
Last,22
Glacial,22
Maximum,46
periods,267
MaxEnt,7
program.,25
separately,36
harbor,40
individual,437
AF.,4
On,215
"hand,",82
assemblage-scale,2
stability,126
continuous,172
"AF,",11
divided,97
zones,243
"(northeastern,",2
central,420
southeastern-southern),2
putatively,7
inference,21
useful,354
direct,268
choice,66
portion,115
zone,299
"present,",55
experienced,108
increase,1121
years.,175
"Finally,",189
phylogeographic,70
validate,24
findings.',4
poroid,6
fungi,146
macroscopic,15
whose,107
fertile,14
surface,780
usually,145
poroid.,2
Most,282
saprobes,2
wood,205
play,227
fundamental,134
nutrient,632
"cycling,",21
mostly,203
releasing,8
carbon,818
removed,62
atmosphere,101
autotrophic,7
organisms.,60
"importance,",41
known,639
factors,1009
affecting,190
polypore,8
Neotropics.,15
abiotic,139
and/or,271
biotic,203
shapes,15
Rain,53
Northeast,62
comparing,130
rainy,105
season;,5
similarities,64
against,199
"distance,",25
logs,13
sizes,97
decay,41
stages.,33
One,148
hundred,48
transects,122
(sampling,4
units),3
visited,37
2008,48
"2014,",20
138,7
"fungi,",23
infrequent,11
occurrence.,26
According,77
Similarity,9
"PERMANOVA,",2
fungal,138
form,275
relation,292
"season,",103
partially,65
distance,370
linear,186
regression.,12
frequently,187
stage,123
1,270
2,294
"little,",5
"none,",2
effect,762
"Thus,",288
every,115
fragment,173
protect,150
diversity.',26
'Understanding,47
affect,388
essential,240
genetics,67
carried,319
rarely,91
broad,189
scales,285
entire,191
"suitability,",4
explain,207
allelic,48
"populations,",220
fitted,31
mixed,208
multiple,430
competing,18
hypotheses,119
selection,273
Information,90
Criteria.,3
overall,357
absence,135
seed,546
dispersers,24
historically,60
stable,206
climate.,73
Both,212
seedling,158
negatively,209
influenced,379
factors;,8
affected,563
seedlings,223
dispersers.,10
E.,240
instability,20
mid-Holocene,8
anthropogenic,591
"impacts,",44
process,385
dispersal.,37
plan,64
must,285
account,229
landscapes.',36
'Sand,3
flies,36
insect,153
vectors,39
protozoa,3
genus,321
"Leishmania,",2
causative,11
parasites,59
visceral,7
American,359
tegumentary,2
leishmaniases.,2
discusses,60
bioecological,2
sand,134
fly,18
transmitters,15
Leishmania,9
"protozoa,",2
ecotopes,4
Conservation,125
Unit,15
located,521
metropolitan,39
"Natal,",3
Norte,9
Brazil.',41
'Cave,1
environments,220
possessing,10
specialized,59
limited,369
food,747
conditions.,261
vulnerable,158
condition,263
easily,77
altered.,4
"Moreover,",157
determinants,29
caves,36
remain,165
poorly,215
understood,61
protected.,13
goal,119
propose,158
cave,21
priority,151
index,400
(CCPi),1
assessment,511
troglobiotic,4
troglophile,2
mapped,69
"CCPi,",2
associated.,4
troglomorphic/troglobiotic,1
another,134
200,52
map,175
distribution.,115
CCPi,2
reveals,68
extremely,103
"caves,",3
average,515
caves.,2
Fourteen,12
priorities,64
geographical,304
221,4
troglobiotic/troglomorphic,1
allowed,152
select,79
19,92
karst,52
Seven,42
richest,32
correspond,44
iron,39
ore,12
(67,1
spp.),54
limestone,20
(56,3
spp.).,6
aquifers.,9
prevent,96
losses,194
helps,32
assessors,2
emergency,5
"protection,",36
actions.',9
'Biological,7
invasions,66
"reduce,",2
"shift,",5
extinguish,1
ranges.,41
While,221
widely,274
"(SCP),",1
combine,33
effects,1625
Artocarpus,4
heterophyllus,3
Lam.,4
(Moraceae),2
SCP,4
aromatic,52
fruit,199
(EFAF).,1
measures,355
"turnover,",11
irreplaceability.,1
Ecological,58
niche,186
establish,143
preindustrial,8
period,615
EFAF,3
forecast,31
end,184
century,154
calculated,216
overlap,109
significance,86
null,31
model.,103
correction.,2
A.,444
33%,19
future.,58
irreplaceability,3
changing,219
shape,136
"magnitude,",20
misplace,1
overvalue,1
priorities.,12
disregard,3
cause,238
negative,364
change.,263
strongly,352
recommend,74
accounting,71
evaluation,174
SCP.',1
'Owing,2
increased,1209
demand,120
ethanol,26
biofuel,20
sugar,60
"cane,",3
crop,270
4.8,7
since,494
2000.,36
At,362
others,109
cease,2
pre-harvest,4
burning,78
40%,46
harvested,62
without,272
"burning,",20
trash,14
surface.,42
decomposes,2
"year,",77
assumed,71
transition,158
benefits,187
cane,32
productivity,219
stocks.,19
possible,469
practice,75
experiment,114
state,394
long-term,502
pre-harvested,1
fertility,45
N,1028
14-year,4
"period,",163
marginally,16
decreased,409
acidity,78
stocks,121
depth,254
interval.,8
treatment,201
accumulated,54
burned,90
"treatment,",23
difference,227
statistically,126
different.,23
significant.,33
13C,10
"conserved,",6
derived,264
vegetation.',14
'Assuming,1
likely,598
suffer,41
harmful,33
able,184
avoid,105
vortex,6
determination,51
"mechanism,",5
putative,49
focus,255
discussion.,5
Models,37
constitute,75
elegant,1
manner,42
inferring,6
areas.,420
extremes,37
Late,76
Quaternary,40
day.,16
spatially-explicit,6
designed,126
assemblage,218
nineteen,5
Brazil.,426
climatically-stable,1
"(i.e.,",211
refuges),1
portions,54
extreme,167
Such,135
scores,84
Central,280
Corridor,6
"(SCC),",1
(NSM),1
Serra,92
Mar,39
(SSM).,1
refuges,31
degrees,55
indicated,538
ecosystem,1005
socioeconomic,84
health,224
situation,73
precarious.,1
Using,272
transdisciplinary,9
participatory,42
"methodology,",12
characteristics,623
near,351
pilot,28
project,165
examining,59
region.,309
article,208
presents,196
overview,85
"project,",25
bioanthropological,1
"socioeconomic,",4
"demographic,",11
"perception,",4
sanitary,2
"findings,",22
implications,267
178,8
"families,",54
119,10
properties,273
participated,11
research.,62
sanitation,3
infrastructure,65
"poor,",10
85%,24
cultivated,151
products,123
make,228
heavy,162
pesticides,38
chemical,347
"fertilizers,",7
education,51
"low,",56
two-thirds,10
perceive,18
value,453
Hunting,9
extraction,66
common,576
animal,228
endangered.,17
intense,97
"pressure,",23
imperative,17
simultaneously,64
improvement,83
life.,25
participation,68
contributing,117
integration,92
'Altitude,1
variables,665
influencing,125
taxa,473
parameter,56
obtain,80
semideciduous,28
"check,",2
floristically,11
consistent,304
altitudinal,66
"zones,",46
largest,319
accomplish,17
"this,",60
database.,13
"First,",60
checked,8
ordination,60
method,368
(non-metric,1
multidimensional,34
"scaling,",3
NMS),1
followed,290
variance.,16
"Then,",32
"analysis,",137
distinctness,19
extinction.,43
Taxa,9
"altitude,",34
elevation.,19
variations,331
prioritise,2
whenever,5
"possible,",27
recovery,251
programs.',24
endemism.,13
part,519
transformed,44
cacao,109
agroforestry,277
system,661
locally,82
"cabrucas,",4
culled,1
shade,99
implantation,5
(age),1
abandonment,35
practices,331
cabruca,23
capacity,280
cabrucas.,5
Phytosociological,4
cabrucas,40
abandonment.,10
All,261
hemiepiphytes,1
excluding,16
"plants,",170
stem,127
diameter,97
breast,44
"height,",45
surveyed,113
3-ha,1
sampling,595
plantation.,14
2514,1
belonging,172
293,5
52,25
families,233
Shannon,40
varied,404
3.31,1
4.22,1
(Chao),1
late,251
successional,132
old,130
ones.,51
preserved,84
Thus,22
seem,132
replace,28
long,373
run,48
preferences.,11
regeneration,166
Simple,14
alterations,100
recruitment,134
Economic,18
incentives,25
farmers,171
adopt,31
retain,29
bring,33
economic,476
returns.',1
'Herbarium,1
sources,445
"paper,",130
herbarium,34
highlighted,46
family,171
focusing,97
Occurrence,7
"texts,",1
personal,28
"records,",22
collections,95
SpeciesLink,1
website.,2
"Authoritatively,",1
clarify,23
doubts,6
identifications.,2
"4,296",1
"examined,",20
corresponding,128
292,4
accepted,38
names,46
106,28
synonyms.,2
correlated.,9
"sampled,",29
northwestern,69
Santo.,5
Areas,54
rates,727
"collected,",21
suggesting,394
endemicity,10
remains,201
unsampled,6
Eighteen,10
"reported,",10
Campomanesia,1
"espiritosantensis,",2
Myrcia,16
"follii,",1
"limae,",1
riodocensis,1
"status,",53
effective,413
government,107
support,512
implementing,45
policy,338
"required,",10
creation,85
Priority,1
implementation,168
kind,25
protection.',13
'Primates,3
"dispersers,",3
rainforests.,9
defaunation,3
leading,168
primate,105
"extinction,",28
understand,325
primates,58
review,424
"hotspot,",13
"America,",150
1),77
gaps,136
2),84
"dispersed,",3
3),62
body,272
dispersed,57
79,13
diet,206
six,445
ecospecies,3
"(Callithrix,",1
"Leontopithecus,",1
"Callicebus,",2
"Sapajus,",1
"Alouatta,",2
Brachyteles),1
20,239
report,141
"dispersal,",35
none,44
Callithrix,26
Callicebus.,1
strong,449
bias,43
"regions,",137
handled,5
Brachyteles,13
(N,16
=,283
"73),",1
Sapajus,10
"66),",1
Leontopithecus,13
"49),",1
Alouatta,34
26).,1
seeds,267
disperse,24
large-seeded,3
smaller-bodied,2
primates.,15
dramatic,77
"community,",74
inaccessible,7
arboreal,60
frugivores.,3
guidelines,59
research,960
enable,60
understanding,617
process.',17
'Although,58
lichens,36
develop,280
biomass,566
cool-temperate,2
"climates,",16
lichen,55
assemblages,371
reasons,68
known.,46
hypothesis,267
depends,116
fragments.,70
"end,",24
biota,90
analyzed.,55
784,2
11,148
newly,80
reported,310
44,26
Bahia.,12
vast,62
majority,178
(711),1
principally,27
"corticolous,",2
53,20
saxicolous,6
terricolous.,1
frequent,136
site,613
13,133
"sites,",297
half,151
(462),1
site.,131
coincides,14
"score,",6
moderately,61
sampled.,34
per,514
371.,1
Multiple,34
regression,200
"parameters,",46
"extension,",5
"effort,",25
"elevation,",46
"significant,",28
effort,162
predictors,84
Site,17
correlation,286
extension,52
There,425
location,176
"gradient,",57
underlying,117
"detected,",21
turnover,91
macroecological,4
gradient.,62
predictive,82
combined,290
score,26
"quantitative,",7
site-based,1
"method,",48
583,2
1017,1
Traditional,21
estimators,17
(Chao,1
"1,",44
Chao,6
"2,",31
Jackknife,9
Bootstrap),1
ranging,194
971,1
1527,1
overall.,7
"priorities,",12
well-conserved,4
"(e.g.,",241
transitional,30
open,289
areas),11
component,236
extant,66
biome.',14
resources,575
community,1094
adjacent,298
Biological,81
Reserve,61
examined,502
quantitative,206
methods,470
consensus,49
specialists.,15
Plants,33
trunk,24
diameters,16
sampled,524
use-value,2
(UV),2
structural,211
descriptors.,2
129,6
"identified,",49
69,15
having,156
UV,15
Xylopia,1
"sericea,",1
Lecythis,6
lanceolata,5
Guarea,4
macrophylla.,1
demonstrated,218
neither,48
recognition,51
specialists,46
use-versatility,1
depended,38
nature.,25
corroborate,11
character,47
cultural,221
recognizes,9
remnants.',4
'By,8
maintaining,135
forest-like,4
"structure,",169
shaded,25
ants,67
live,129
"soil,",125
leaf,477
litter,222
canopy,326
synthesize,16
compare,230
ant,190
agroforests,20
forms,197
"agriculture,",92
economical,14
special,121
"interest,",13
"Camponotus,",1
"Dolichoderus,",1
"Gnamptogenys,",1
"Pachycondyla,",1
Pseudomyrmex,1
dwelling,13
genera.,26
tramp,2
Wasmannia,3
auropunctata,3
Bahian,7
cocoa-producing,1
"native,",18
cryptobiotic,1
genera,255
Thaumatomyrmex,2
"Typhlomyrmex,",2
proven,34
army,12
Ponerini,1
192,5
strata,41
plantation,99
simple,152
(comprised,1
primarily,274
Erythrina).,1
corresponded,44
roughly,35
"forests,",228
habitats,822
(forest,10
mangroves),1
occurrences,38
thought,70
rare,287
"ants,",7
"results,",84
"shade,",6
(such,34
traditional,328
plantations),5
concern.',3
'Two,35
beendeveloped,1
ex,75
situ,138
germplasm,35
fromCedrela,1
"fissilis,",2
economically,78
theBrazilian,1
involves,47
medium-term,2
"storage,",27
comprising,73
alginate,2
encapsulatedvegetative,1
propagules,25
(shoot,1
"tips,",1
cotyledonary,18
epicotyl,1
nodal,18
segments).Maximum,1
post-storage,1
(3,14
months),7
viabilities,2
wereachieved,1
encapsulated,1
shoot,70
tips,15
segments,49
stored,60
onwater-solidified,1
agar,6
(at,31
w/v).,1
Encapsulated,1
storedfor,1
6,104
months,98
0.4%,3
(w/v),1
rates(44%).,1
Seeds,18
C.,602
fissilis,19
cryopreserved(100%),1
immersion,2
nitrogen.,15
Ex,3
situstorage,1
procedures,46
now,250
medium-,8
conservationof,1
fissilis.,3
offer,88
opportunitiesfor,1
sustainable,297
utilization,70
valuablefast,1
growing,381
timber,114
tree.',2
"""Habitat",1
serious,100
network,185
internal,91
external,87
threaten,51
preservation,118
"biota,",20
tools,170
reserve,112
design,189
PVA,9
"out,",21
"VORTEX,",3
retaining,20
travassosi.,1
takes,31
stochastic,26
events,264
catastrophes,3
(fire).,1
31,43
"reserves,",20
eight,225
"decay,",8
"stochasticity,",4
probably,326
extinct,26
population.,95
needed,256
maintain,218
travassosi,1
Sensitivity,9
"mortality,",27
"ratio,",35
percentage,228
reproductive,311
"females,",34
depression,29
"catastrophes,",2
suggests,457
"sizes,",25
indicates,251
travassosi's,1
next,105
"years.""",4
world,194
industrialized,21
source,417
elements,248
atmosphere.,29
"units,",24
Parque,33
Estadual,22
Carlos,6
Botelho,6
(PECB),1
representative.,4
leaves,214
predominant,82
PECB,5
instrumental,32
neutron,7
activation,12
(INAA),2
establishment,205
backgrounds,1
"As,",36
"Ba,",13
"Br,",3
"Ca,",77
"Cd,",58
"Ce,",3
"Co,",22
"Cs,",3
"Fe,",53
"Hg,",31
"K,",68
"Na,",35
"Rb,",4
"Sc,",3
"Se,",11
Sr,19
Zn.,12
Biomonitoring,7
realized,31
taking,70
interspecies,3
intraspecies,2
variability,556
concentrations.,70
pointed,27
concentrations,1150
concerning.,1
Br,1
understory,107
atmospheric,503
sea,435
influence.,17
"addition,",295
Hyeronima,5
alchorneoides,9
hyperaccumulators,1
Co.',1
'If,4
heavily,89
disturbed,215
"biomes,",25
why,56
persist,47
perish,1
human-dominated,20
landscapes.,88
I,315
agroforestry/forest,2
sustain,47
